"State Name","County Name","FIPSST","FIPSCNTY","FIPS","SSAST","SSACNTY","SSA","Eligibles","Enrolled","Penetration"
"Pending State Designation","Pending County Designation",,"",,"","","","15,696","",
"Alabama","Autauga","01","001","01001","01","000","01000","9,202","2,825","30.70%"
"Alabama","Baldwin","01","003","01003","01","010","01010","40,128","12,143","30.26%"
"Alabama","Barbour","01","005","01005","01","020","01020","5,866","823","14.03%"
"Alabama","Bibb","01","007","01007","01","030","01030","4,496","1,598","35.54%"
"Alabama","Blount","01","009","01009","01","040","01040","10,921","4,517","41.36%"
"Alabama","Bullock","01","011","01011","01","050","01050","1,783","442","24.79%"
"Alabama","Butler","01","013","01013","01","060","01060","4,562","422","9.25%"
"Alabama","Calhoun","01","015","01015","01","070","01070","24,898","3,021","12.13%"
"Alabama","Chambers","01","017","01017","01","080","01080","8,275","1,328","16.05%"
"Alabama","Cherokee","01","019","01019","01","090","01090","6,311","1,420","22.50%"
"Alabama","Chilton","01","021","01021","01","100","01100","8,182","3,621","44.26%"
"Alabama","Choctaw","01","023","01023","01","110","01110","3,623","247","6.82%"
"Alabama","Clarke","01","025","01025","01","120","01120","5,828","1,029","17.66%"
"Alabama","Clay","01","027","01027","01","130","01130","3,300","386","11.70%"
"Alabama","Cleburne","01","029","01029","01","140","01140","3,290","390","11.85%"
"Alabama","Coffee","01","031","01031","01","150","01150","9,394","797","8.48%"
"Alabama","Colbert","01","033","01033","01","160","01160","12,852","1,145","8.91%"
"Alabama","Conecuh","01","035","01035","01","170","01170","3,349","345","10.30%"
"Alabama","Coosa","01","037","01037","01","180","01180","2,406","289","12.01%"
"Alabama","Covington","01","039","01039","01","190","01190","9,139","668","7.31%"
"Alabama","Crenshaw","01","041","01041","01","200","01200","3,269","674","20.62%"
"Alabama","Cullman","01","043","01043","01","210","01210","17,414","3,662","21.03%"
"Alabama","Dale","01","045","01045","01","220","01220","9,278","837","9.02%"
"Alabama","Dallas","01","047","01047","01","230","01230","9,337","1,696","18.16%"
"Alabama","DeKalb","01","049","01049","01","240","01240","14,004","2,340","16.71%"
"Alabama","Elmore","01","051","01051","01","250","01250","14,357","3,901","27.17%"
"Alabama","Escambia","01","053","01053","01","260","01260","8,115","802","9.88%"
"Alabama","Etowah","01","055","01055","01","270","01270","23,472","4,304","18.34%"
"Alabama","Fayette","01","057","01057","01","280","01280","4,643","553","11.91%"
"Alabama","Franklin","01","059","01059","01","290","01290","6,445","482","7.48%"
"Alabama","Geneva","01","061","01061","01","300","01300","6,289","612","9.73%"
"Alabama","Greene","01","063","01063","01","310","01310","2,063","139","6.74%"
"Alabama","Hale","01","065","01065","01","320","01320","3,731","221","5.92%"
"Alabama","Henry","01","067","01067","01","330","01330","4,197","803","19.13%"
"Alabama","Houston","01","069","01069","01","340","01340","20,565","2,614","12.71%"
"Alabama","Jackson","01","071","01071","01","350","01350","11,893","1,355","11.39%"
"Alabama","Jefferson","01","073","01073","01","360","01360","117,785","48,768","41.40%"
"Alabama","Lamar","01","075","01075","01","370","01370","3,702","299","8.08%"
"Alabama","Lauderdale","01","077","01077","01","380","01380","19,727","1,885","9.56%"
"Alabama","Lawrence","01","079","01079","01","390","01390","7,204","642","8.91%"
"Alabama","Lee","01","081","01081","01","400","01400","18,444","2,157","11.69%"
"Alabama","Limestone","01","083","01083","01","410","01410","14,444","2,377","16.46%"
"Alabama","Lowndes","01","085","01085","01","420","01420","2,543","977","38.42%"
"Alabama","Macon","01","087","01087","01","430","01430","4,251","932","21.92%"
"Alabama","Madison","01","089","01089","01","440","01440","53,392","7,077","13.25%"
"Alabama","Marengo","01","091","01091","01","450","01450","5,062","427","8.44%"
"Alabama","Marion","01","093","01093","01","460","01460","6,769","755","11.15%"
"Alabama","Marshall","01","095","01095","01","470","01470","18,668","1,845","9.88%"
"Alabama","Mobile","01","097","01097","01","480","01480","73,269","29,620","40.43%"
"Alabama","Monroe","01","099","01099","01","490","01490","4,935","642","13.01%"
"Alabama","Montgomery","01","101","01101","01","500","01500","37,331","9,820","26.31%"
"Alabama","Morgan","01","103","01103","01","510","01510","22,923","2,375","10.36%"
"Alabama","Perry","01","105","01105","01","520","01520","2,323","135","5.81%"
"Alabama","Pickens","01","107","01107","01","530","01530","4,746","288","6.07%"
"Alabama","Pike","01","109","01109","01","540","01540","5,764","1,169","20.28%"
"Alabama","Randolph","01","111","01111","01","550","01550","5,142","604","11.75%"
"Alabama","Russell","01","113","01113","01","560","01560","10,081","2,086","20.69%"
